CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,CHO,PO2,D3M,COH,MTF,COH-W,MTF-W,CHO-W,PO2-W,AL1,Dpp1,Kc1,AL2,Dpp2,Kc2,AL3,Dpp3,Kc3
-0.752900056,-0.7371074689,-0.5544185499,-0.9355528383,-0.7311012662,-0.9811865264,-1.038968325,-0.7200867538,-0.8919411621,3.407232622,3.359974324,2.553123366,3.052267426,2.522961153,4.550495581,4.845239014,5.019003295,4.398472523,70.16994056,38.11394429,18.85192163,70.80080453,32.26197257,19.57208381,69.59522064,36.78455384,14.24666271
-0.713758627,-0.702501319,-0.5723388253,-0.9324051571,-0.7721014237,-0.9925679662,-0.9485449629,-0.7890837438,-0.8748640137,3.473542696,3.174448882,2.70965364,3.253527468,2.385110799,4.595393542,4.737154053,5.019471475,4.405561621,69.0561,38.21791063,23.24990274,69.81301145,32.35361433,18.38542898,69.67866939,36.75250644,14.54575119
-0.7623276305,-0.6927925671,-0.564809635,-0.9624750505,-0.7451834437,-0.935637634,-1.020304515,-0.751756594,-0.9002036133,3.586694885,3.36931446,2.57363378,3.091081863,2.535127945,4.682247123,4.875452637,5.032229371,4.38669211,71.8683601,37.70610311,17.92057858,70.26350292,32.18709821,19.47189694,70.12806306,36.57195239,15.73011613
-0.7306817494,-0.7331957758,-0.5673371962,-0.9597327526,-0.7428209119,-0.9195139275,-0.9978446755,-0.7338787566,-0.8715930176,3.35061402,3.181314281,2.717597356,3.109921619,2.461228168,4.604765447,4.900649658,4.916706033,4.47499308,68.95434002,37.78984723,20.02831679,65.85368039,32.2755302,19.52800841,69.51177376,36.84286022,15.96067775
-0.7390001975,-0.7318390173,-0.5582834451,-0.9840318972,-0.7396770705,-0.9228682137,-0.9889629405,-0.756045796,-0.9078500977,3.358860273,3.293316086,2.697086941,3.054158968,2.409983798,4.547117336,4.752317871,4.991965918,4.450910998,69.02044579,38.13373573,16.3619043,70.79840073,32.94220921,16.94633994,68.84813469,37.11370854,16.48661103
-0.7085171102,-0.6939202625,-0.5519712287,-0.9823149802,-0.7392306078,-0.9696894215,-0.9689121196,-0.7576727347,-0.8308754883,3.309212731,3.343768788,2.736154397,3.066870129,2.393202015,4.521834989,4.649249512,4.979793246,4.299954912,66.79179939,39.56461091,24.60853768,66.5671124,33.49449248,19.90881527,64.754209,38.23006007,16.54063188
-0.7365583305,-0.7227734042,-0.5529274225,-1.025559827,-0.7758684527,-0.9162868729,-1.032288774,-0.7221851349,-0.8421859131,3.635109741,3.229252331,2.754027758,3.060098409,2.350498373,4.538344798,4.607007446,4.927298599,4.483593824,67.92644306,38.78207081,22.78643018,67.68322372,33.03588777,19.8287092,65.577604,37.76034607,16.64167812
-0.7286244988,-0.7079459729,-0.5651840885,-0.9654319631,-0.7348403913,-0.9362853582,-1.008137755,-0.7678041255,-0.8411557617,3.319754332,3.13844545,2.659842633,3.157966779,2.346932244,4.683554831,4.767367676,4.787371395,4.352080632,66.80405889,38.75474199,22.18282826,65.63354658,33.33944121,21.54146696,67.27591918,37.82363744,16.65341765
-0.7601809342,-0.7042104822,-0.5270433232,-0.9313797761,-0.7974195791,-0.9502576949,-0.9523653256,-0.7684696913,-0.8718266602,3.383343993,3.3622894,2.644997,3.056580142,2.434916731,4.662195607,4.901903809,4.92829348,4.420886583,72.74597327,38.23961171,15.4604508,69.98644775,32.69442668,16.40698215,70.89429502,36.7871288,16.75339635
-0.7510753641,-0.7355216473,-0.5340108333,-0.9758526954,-0.777124129,-0.9697588205,-0.9831472291,-0.7490388669,-0.8868010254,3.652239843,3.301059618,2.656391674,3.122330133,2.474413854,4.536328748,4.826312744,4.959310385,4.463733925,68.97925389,38.03489623,17.97918149,66.49576983,32.7461144,22.00021623,67.89142014,37.27345046,16.773058
